Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCAFS,Dragon Spacecraft Qualification Unit,Dragon Spacecraft Qualification Unit,LEO,SpaceX,,F9 v1.07B0003.18,Failure,4 June 2010,18:45
1,CCAFS,Dragon,Dragon,"Success
",NASA,,F9 v1.07B0003.18,Failure,4 June 2010,18:45
2,CCAFS,Dragon,Dragon,LEO,NASA,,F9 v1.07B0004.18,"No attempt
",8 December 2010,15:43
3,CCAFS,SpaceX CRS-1,SpaceX CRS-1,Success,NASA,,F9 v1.07B0005.18,No attempt,22 May 2012,07:44
4,CCAFS,SpaceX CRS-2,SpaceX CRS-2,LEO,NASA,,F9 v1.07B0006.18,"No attempt
",8 October 2012,00:35
5,VAFB,CASSIOPE,CASSIOPE,Success,MDA,,F9 v1.07B0007.18,Uncontrolled,1 March 2013,15:10
6,CCAFS,SES-8,SES-8,LEO,SES,,F9 v1.17B10038,No attempt,29 September 2013,16:00
7,CCAFS,Thaicom 6,Thaicom 6,"Success
",Thaicom,,F9 v1.1,No attempt,3 December 2013,22:41
8,Cape Canaveral,SpaceX CRS-3,SpaceX CRS-3,LEO,NASA,,F9 v1.1,Controlled,6 January 2014,22:06
9,Cape Canaveral,Orbcomm-OG2,Orbcomm-OG2,"Success
",Orbcomm,,F9 v1.1,Controlled,18 April 2014,19:25
10,Cape Canaveral,AsiaSat 8,AsiaSat 8,Polar orbit,AsiaSat,,F9 v1.1,No attempt,14 July 2014,15:15
11,Cape Canaveral,AsiaSat 6,AsiaSat 6,Success,AsiaSat,,F9 v1.1,"No attempt
",5 August 2014,08:00
12,Cape Canaveral,SpaceX CRS-4,SpaceX CRS-4,GTO,NASA,,F9 v1.1[,Uncontrolled,7 September 2014,05:00
13,Cape Canaveral,SpaceX CRS-5,SpaceX CRS-5,Success,NASA,,F9 v1.1[,Failure ,21 September 2014,05:52
14,Cape Canaveral,DSCOVR,DSCOVR,GTO,USAF,,F9 v1.1[,Controlled,10 January 2015,09:47
15,Cape Canaveral,ABS-3A,ABS-3A,Success,ABS,,F9 v1.1[,No attempt,11 February 2015,23:03
16,Cape Canaveral,SpaceX CRS-6,SpaceX CRS-6,LEO,NASA,,F9 v1.1[,Failure,2 March 2015,03:50
17,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,TürkmenÄlem 52°E / MonacoSAT,"Success
",,,F9 v1.1[,No attempt,14 April 2015,20:10
18,Cape Canaveral,SpaceX CRS-7,SpaceX CRS-7,LEO,NASA,,F9 v1.1[,Precluded,27 April 2015,23:03
19,Cape Canaveral,Orbcomm-OG2,Orbcomm-OG2,Success,Orbcomm,,F9 v1.1[,Success,28 June 2015,14:21
20,VAFB,Jason-3,Jason-3,GTO,NASA,,F9 FT[,Failure,22 December 2015,01:29
21,Cape Canaveral,SES-9,SES-9,Success,SES,,F9 v1.1[,Failure,17 January 2016,18:42
22,Cape Canaveral,SpaceX CRS-8,SpaceX CRS-8,GTO,NASA,,F9 FT[,Success,4 March 2016,23:35
23,Cape Canaveral,JCSAT-14,JCSAT-14,Success,SKY Perfect JSAT Group,,F9 FT[,Success,8 April 2016,20:43
24,Cape Canaveral,Thaicom 8,Thaicom 8,LEO,Thaicom,,F9 FT[,Success,6 May 2016,05:21
25,Cape Canaveral,ABS-2A,ABS-2A,Success,ABS,,F9 FT[,Failure,27 May 2016,21:39
26,Cape Canaveral,SpaceX CRS-9,SpaceX CRS-9,LEO,NASA,,F9 FT[,Success,15 June 2016,14:29
27,Cape Canaveral,JCSAT-16,JCSAT-16,Success,SKY Perfect JSAT Group,,F9 FT[,Success,18 July 2016,04:45
28,VAFB,Iridium NEXT,Iridium NEXT,HEO,Iridium Communications,,F9 FT[,Success,14 August 2016,05:26
29,KSC,SpaceX CRS-10,SpaceX CRS-10,"Success
",NASA,,F9 FT[,Success,14 January 2017,17:54
30,KSC,EchoStar 23,EchoStar 23,GTO,EchoStar,,F9 FT[,No attempt,19 February 2017,14:39
31,KSC,SES-10,SES-10,"Success
",SES,,F9 FT[,Success,16 March 2017,06:00
32,KSC,NROL-76,NROL-76,LEO,NRO,,F9 FT♺[,Success,30 March 2017,22:27
33,KSC,Inmarsat-5 F4,Inmarsat-5 F4,"Success
",Inmarsat,,F9 FT[,No attempt,1 May 2017,11:15
34,KSC,SpaceX CRS-11,SpaceX CRS-11,GTO,NASA,,F9 FT[,Success,15 May 2017,23:21
35,KSC,BulgariaSat-1,BulgariaSat-1,"Success
",Bulsatcom,,F9 FT[,Success,3 June 2017,21:07
36,VAFB,Iridium NEXT,Iridium NEXT,LEO,Iridium Communications,,F9 FTB1029.2195,Success,23 June 2017,19:10
37,KSC,Intelsat 35e,Intelsat 35e,Failure,Intelsat,,F9 FT[,No attempt,25 June 2017,20:25
38,KSC,SpaceX CRS-12,SpaceX CRS-12,LEO,NASA,,F9 FT[,Success,5 July 2017,23:38
39,VAFB,Formosat-5,Formosat-5,"Success
",NSPO,,F9 B4[,Success,14 August 2017,16:31
40,KSC,Boeing X-37B,Boeing X-37B,LEO,USAF,,F9 FT[,Success,24 August 2017,18:51
41,VAFB,Iridium NEXT,Iridium NEXT,"Success
",Iridium Communications,,F9 B4[,Success,7 September 2017,14:00
42,KSC,SES-11,SES-11,GTO,SES S.A.,,F9 B4[,Success,9 October 2017,12:37
43,KSC,Koreasat 5A,Koreasat 5A,"Success
",KT Corporation,,F9 FTB1031.2220,Success,11 October 2017,22:53:00
44,Cape Canaveral,SpaceX CRS-13,SpaceX CRS-13,LEO,NASA,,F9 B4[,Success,30 October 2017,19:34
45,VAFB,Iridium NEXT,Iridium NEXT,Success,Iridium Communications,,F9 FTB1035.2227,Controlled,15 December 2017,15:36
46,CCAFS,Zuma,Zuma,GTO,Northrop Grumman,,F9 FTB1036.2227,Success,23 December 2017,01:27
47,CCAFS,GovSat-1,GovSat-1,"Success
",SES,,F9 B4[,Controlled,8 January 2018,01:00
48,VAFB,Paz,Paz,GTO,Hisdesat,,F9 FTB1032.2245,No attempt,31 January 2018,21:25
49,CCAFS,Hispasat 30W-6,Hispasat 30W-6,"Success
",Hispasat,,F9 FTB1038.2268,No attempt,22 February 2018,14:17
50,VAFB,Iridium NEXT,Iridium NEXT,GTO,Iridium Communications,,F9 B4[,No attempt,6 March 2018,05:33
51,CCAFS,SpaceX CRS-14,SpaceX CRS-14,"Success
",NASA,,F9 B4B1041.2268,No attempt,30 March 2018,14:14
52,CCAFS,Transiting Exoplanet Survey Satellite,Transiting Exoplanet Survey Satellite,LEO,NASA,,F9 B4B1039.2292,Success,2 April 2018,20:30
53,KSC,Bangabandhu-1,Bangabandhu-1,"Success
",Thales-Alenia,,F9 B4[,Success,18 April 2018,22:51
54,VAFB,Iridium NEXT,Iridium NEXT,GTO,Iridium Communications,,F9 B5311B1046.1268,No attempt,11 May 2018,20:14
55,CCAFS,SES-12,SES-12,"Success
",SES,,F9 B4B1043.2322,No attempt,22 May 2018,19:47
56,CCAFS,SpaceX CRS-15,SpaceX CRS-15,Polar,NASA,,F9 B4B1040.2268,No attempt,4 June 2018,04:45
57,CCAFS,Telstar 19V,Telstar 19V,"Success
",Telesat,,F9 B4B1045.2336,Success,29 June 2018,09:42
58,VAFB,Iridium NEXT,Iridium NEXT,LEO,Iridium Communications,,F9 B5,Success,22 July 2018,05:50
59,CCAFS,Merah Putih,Merah Putih,"Success
",Telkom Indonesia,,F9 B5349B1048[,Success,25 July 2018,11:39
60,CCAFS,Telstar 18V,Telstar 18V,GTO,Telesat,,F9 B5B1046.2354,Success,7 August 2018,05:18
61,VAFB,SAOCOM 1A,SAOCOM 1A,"Success
",CONAE,,F9 B5[,Success,10 September 2018,04:45
